ID_x,No Servings,Description,Unnamed: 3,Categories,Size,Price,Nut Score,fdc_id_x,gtin_upc,serving_size,serving_size_unit,branded_food_category,description_x,ingredients,publication_date,Protein - g,Total lipid (fat),Total Carbohydrate,Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K",Sodium/Salt,"Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans",Saturated Fat,Vitamin B-6,Vitamin B-12,Added Sugars,FDC_Description,Food_Code,Keyword,Parent,Grandparent,Fruits,Other,Proteins,Vegetables,Protein - cal,Carb - cal,Price per Serving
21000073320,1.0,J.L. Kraft Marinade in-a-Bag Original Flavor Liquid Marinade,0,Condiment & Sauces,12 oz,3.99,49,2213761,21000073320,17.0,g,"Seasoning Mixes, Salts, Marinades & Tenderizers","ORIGINAL FLAVOR LIQUID MARINADE IN-A-BAG, ORIGINAL","VINEGAR, HIGH FRUCTOSE CORN SYRUP, WORCESTERSHIRE SAUCE (DISTILLED WHITE VINEGAR, WATER, MOLASSES, SALT, HIGH FRUCTOSE CORN SYRUP, SOY SAUCE [WATER, SOYBEANS, SALT, ALCOHOL], CARAMEL COLOR, ANCHOVIES, CORN SYRUP, NATURAL FLAVORINGS, POLYSORBATE 80, SOY FLOUR), WATER, MOLASSES, SALT, MODIFIED FOOD STARCH, CONTAINS LESS THAN 2% OF SPICES, NATURAL SMOKE FLAVOR, GARLIC*, ONION*, XANTHAN GUM, MUSTARD FLOUR, CARAMEL COLOR, POTASSIUM SORBATE AND SODIUM BENZOATE (TO PRESERVE FRESHNESS), RED BELL PEPPER*, TAMARIND EXTRACT, NATURAL FLAVOR, CALCIUM DISODIUM EDTA (TO PROTECT FLAVOR).",2022-01-06,0.0,0.0,3.0005,14.96,0,0.0,0.0,0.0,0.0,0.0,0.0,0.012357650664745142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9992,0.0,-0.5290928349457172,0.0,0.0,-0.26342623054812087,Korean dressing or marinade,83208500,Korean dressing or marinade,83 Salad dressings,Other,0,1,0,0,0.0,12.002,0.7686069545126103
11110979759,1.0,Kroger® 93% Lean Ground Beef,0,"Meat & Seafood, Natural & Organic",1 lb,6.29,0,2098023,11110979759,112.0,g,Other Meats,LEAN GROUND BEEF,GROUND BEEF.,2021-10-28,24.0016,71.97120000000001,0.0,170.24,0,0.0,0.0,2.6992,0.0,0.0,0.0,-0.048039151863353724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5772327660403577,0.0,0.0,-0.496877767321732,"Beef, ground",21500100,Beef,"27 Meat, poultry, fish mixtures",Proteins,0,0,1,0,96.0064,0.0,1.6763757317987134
74964001007,25.4,Allegro Original Marinade,0,Condiment & Sauces,12.7 fl oz,3.99,0,1908327,74964001007,15.0,ml,"Seasoning Mixes, Salts, Marinades & Tenderizers","ORIGINAL MARINADE, ORIGINAL","SOY SAUCE (WATER, SALT, HYDROLYZED SOY PROTEIN, INVERT SYRUP, CARAMEL COLOR), WATER, LIME JUICE (FROM CONCENTRATE), VINEGAR, DRIED GARLIC, SPICE, CITRIC ACID, PAPRIKA, LIME OIL.",2021-07-29,1.0005,0.0,1.0005,4.95,0,0.0,3.0,0.0,0.0,0.0,93.0,0.15727823071245672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5290928349457172,0.0,0.0,-0.496877767321732,Korean dressing or marinade,83208500,Korean dressing or marinade,83 Salad dressings,Other,0,1,0,0,4.002,4.002,-0.743025400707292
11110893703,6.0,Kroger® Non Alcoholic Ginger Beer,#VALUE!,Beverages,6 cans / 12 fl oz,3.69,0,2047394,11110893703,354.0,ml,Soda,GINGER BEER,"CARBONATED WATER, HIGH FRUCTOSE CORN SYRUP, NATURAL FLAVOR, CITRIC ACID, SODIUM BENZOATE (PRESERVATIVE), CARAMEL COLOR, GUM ACACIA.",2021-10-28,0.0,0.0,41.9844,159.3,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061717545579938526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9844,0.0,-0.5290928349457172,0.0,0.0,4.405604504924102,"Soft drink, NFS",92400000,Soft drink,92 Nonalcoholic beverages,Other,0,1,0,0,0.0,167.9376,-0.5614716452500713
616003559928,2.666666667,Zing Zang Non-Alcoholic Bloody Mary Mix,#VALUE!,Beverages,6 cans / 8 fl oz,8.99,52,2144105,616003559928,89.0,ml,Alcohol,"BLOODY MARY MIX, BLOODY MARY","WATER, TOMATO PUREE, VEGETABLE JUICE BLEND (CARROT CONCENTRATE, CELERY, PARSLEY, BEET CONCENTRATE, LETTUCE, WATERCRESS, SPINACH), DISTILLED VINEGAR, WORCESTERSHIRE SAUCE (DISTILLED VINEGAR, MOLASSES, SUGAR, WATER, SALT, ONION, GARLIC, TAMARIND EXTRACT, NATURAL FLAVORS), SPICE BLEND (CORN STARCH, SALT, MONOSODIUM GLUTAMATE, SUGAR, YEAST EXTRACT, NATURAL FLAVOR, ONION POWDER, SPICE, CELERY EXTRACT.), CELERY SALT, PEPPER SAUCE (VINEGAR, RED PEPPER, SALT), CELERY SEED, BLACK PEPPER.",2021-10-28,0.9968,0.0,3.9961,19.58,0,0.979,19.58,0.7209,0.0,0.0,0.0,0.026184422517004303,0.0,200.25,0.0,0.0,0.0,5.963,0.0,0.0,0.0,0.0,0.0,0.0,2.0025,0.0,-0.5290928349457172,0.0,0.0,-0.496877767321732,Bloody Mary,93301030,Bloody Mary,93 Alcoholic beverages,Other,0,1,0,0,3.9872,15.9844,0.5239040667224434
90478321103,4.22675,Senorial Sangria Non-Alcoholic Sparkling Soda,#VALUE!,"International, Beverages",1.5 l,1.29,0,2082632,90478321103,240.0,ml,Soda,"SANGRIA SENORIAL, SPARKLING NON-ALCOHOLIC SANGRIA","CARBONATED WATER, SUGAR, NATURAL AND ARTIFICIAL FLAVORS, CARAMEL COLOR, CITRIC ACID, SODIUM BENZOATE (AS PRESERVATIVE), RED 40, BLUE 1.",2021-10-28,0.0,0.0,28.008,110.4,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05819787817557009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.008,0.0,-0.5290928349457172,0.0,0.0,-0.496877767321732,"Soft drink, NFS",92400000,Soft drink,92 Nonalcoholic beverages,Other,0,1,0,0,0.0,112.032,-0.6838230891451548
866515000375,3.5,SkinnyDipped Peanut Butter Dark Chocolate Covered Almonds,#VALUE!,Natural & Organic,3.5 oz,4.99,0,2189430,866515000375,28.0,g,"Popcorn, Peanuts, Seeds & Related Snacks","DARK CHOCOLATE PEANUT BUTTER ALMONDS, DARK CHOCOLATE PEANUT BUTTER","ALMONDS, DARK CHOCOLATE (CHOCOLATE PROCESSED WITH ALKALI, CANE SUGAR, COCOA BUTTER, MILK FAT, SUNFLOWER LECITHIN, VANILLA), PEANUT WAFER (CANE SUGAR, PALM KERNEL OIL, PEANUT FLOUR, NONFAT DRY MILK, PEANUT OIL, SALT, SOY LECITHIN), ORGANIC MAPLE SUGAR, SEA SALT, PEANUT BUTTER (PEANUTS, PEANUT OIL, SEA SALT).",2021-12-01,5.0008,89.9892,11.0012,150.08,0,1.988,52.92,0.9996,0.0,0.0,190.12,-0.04630002208707754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0004,0.0,0.5762007458901842,0.0,0.0,0.20045105039884537,"Almonds, chocolate covered candy",91701010,Almonds,"91 Sugars, sweets",Other,0,1,0,0,20.0032,44.0048,-0.24177916281453066
840379101416,2.0,Justin’s® Organic Dark Chocolate Almond Butter Cups,#VALUE!,"Candy, Natural & Organic",2 ct / 1.4 oz,2.29,0,2126605,840379101416,40.0,g,Candy,"DARK CHOCOLATE ORGANIC ALMOND BUTTER CUPS, DARK CHOCOLATE","ORGANIC DARK CHOCOLATE (ORGANIC EVAPORATED CANE SUGAR, ORGANIC CACAO BEANS*, ORGANIC COCOA BUTTER*, ORGANIC SOYA LECITHIN [EMULSIFIER]), ORGANIC ALMONDS, ORGANIC CANE SUGAR, ORGANIC ALMOND PROTEIN, ORGANIC PALM OIL**, SEA SALT, ORGANIC SUNFLOWER LECITHIN.",2021-10-28,3.0,135.0,20.0,230.0,0,1.0,0.0,0.72,0.0,0.0,70.0,-0.03942631868560506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0509575404882265,0.0,0.0,1.1323951712777478,"Dark chocolate candy, other, NFS",91705290,Dark chocolate candy,"91 Sugars, sweets",Other,0,1,0,0,12.0,80.0,-0.35623696516799586
71464018931,1.0,Bolthouse® Farms Protein Plus Banana Honey Almond Butter Protein Shake,#VALUE!,"Breakfast, Beverages",15.2 fl oz,3.29,47,1967308,71464018931,240.0,ml,Milk,"BOLTHOUSE FARMS, PROTEIN PLUS, PROTEIN SHAKE, BANANA HONEY ALMOND BUTTER, BANANA HONEY ALMOND BUTTER","WATER, REDUCED FAT MILK, CANE SUGAR, WHEY PROTEIN CONCENTRATE, SOY PROTEIN ISOLATE, BANANA PUREE, ALMOND BUTTER, HONEY, NATURAL FLAVORS, DIPOTASSIUM PHOSPHATE, ACACIA GUM, COCONUT WATER CONCENTRATE, VITAMIN C (ASCORBIC ACID), GELLAN GUM, SEA SALT, CARRAGEENAN, VITAMIN A (PALMITATE), VITAMIN B1 (THIAMIN MONONITRATE), VITAMIN B2 (RIBOFLAVIN), VITAMIN B3 (NIACINAMIDE), VITAMIN B5 (CALCIUM D-PANTOTHENATE), VITAMIN B6 (PYRIDOXINE HCL), VITAMIN B7 (BIOTIN), VITAMIN B9 (FOLIC ACID), VITAMIN B12 (CYANOCOBALAMIN), VITAMIN D3 (CHOLECALCIFEROL, VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE), CALCIUM (TRICALCIUM PHOSPHATE), PHOSPHOROUS (TRICALCIUM PHOSPHATE, MAGNESIUM PHOSPHATE), MAGNESIUM (MAGNESIUM PHOSPHATE), CHROMIUM (CHROMIUM CHLORIDE), IODINE (POTASSIUM IODIDE). IRON (FERRIC ORTHOPHOSPHATE), ZINC (ZINC OXIDE), COPPER (COPPER GLUCONATE).",2021-07-29,16.008,44.928,25.008,211.2,0,0.96,1000.8,5.4,100.8,700.8,410.4,-0.0010550426693530304,3.744,1999.2,0.0,160.8,0.0,78.0,0.0,0.5088,4.9992,0.0,0.0,0.0,22.992,0.0,0.01935215914652679,4.6008,15.0,-0.496877767321732,"Nutritional drink or shake, high protein, ready-to-drink, NFS",95120010,Nutritional drink or shake,"95 Formulated nutrition beverages, energy drinks, sports drink",Other,0,1,0,0,64.032,100.032,0.4923295005559702
50000538003,56.0,Starbucks Hazelnut Flavored Almond Milk and Oat Milk Non-Dairy Liquid Coffee Creamer,#VALUE!,"Dairy, Dairy",28 fl oz,5.29,0,2171901,50000538003,15.0,ml,Milk Additives,"HAZELNUT ALMONDMILK & OATMILK NON-DAIRY COFFEE CREAMER, HAZELNUT","ALMOND MILK (WATER ALMONOS) OAT MILK (WATER. OAT FLOUR), SUGAR, COCONUT OIL. PEA PROTEIN. POTASSIUM CITRATE, BAKING SODA, NATURAL FLAVOR, GELLAN GUM, GUAR GUM (FROM THE GUAR PLANT).",2021-10-28,0.0,9.0045,4.9995,30.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06704880650126131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9995,0.0,-0.1603299205711943,0.0,0.0,0.08442354184286813,"Coffee, Latte, with non-dairy milk, flavored",92101906,Coffee,92 Nonalcoholic beverages,Other,0,1,0,0,0.0,19.998,-0.7706531461029559
