lower_short_description,food_code
egg sandwich on english muffin,34001300
egg sandwich on croissant,34001400
egg sandwich on biscuit,34001500
egg sandwich on bagel,34001600
egg sandwich on griddle/pancake,34001700
egg white sandwich,34002000
bacon biscuit sandwich,34002110
ham biscuit sandwich,34002120
sausage biscuit sandwich,34002130
sausage english muffin sandwich,34002150
sausage griddle/pancake sandwich,34002160
egg burrito,34003100
quesadilla,58104780
taquito,58104900
breakfast pizza with egg,58109210
biscuit with gravy,58128000
beans,41100990
white beans,41101090
black beans,41101990
black beans with meat,41102170
fava beans,41102210
lima beans,41102990
pink beans,41103070
pinto beans,41103990
pinto beans with meat,41104250
kidney beans,41105990
kidney beans with meat,41106170
peruvian beans,41106510
soybeans,41107010
mung beans,41108010
baked beans,41201010
baked beans from fast food / restaurant,41201050
beans and tomatoes,41202505
refried beans,41205010
refried beans with meat,41205030
beans and franks,41206030
pork and beans,41208030
beans with meat,41208100
blackeyed peas,41300990
chickpeas,41301990
split peas,41303000
wasabi peas,41304000
lentils,41304970
dal,41305050
papad,41311000
soy nuts,41410010
edamame,41420020
black bean salad,41203030
falafel,41209000
bean cake,41210000
chili with beans,41221020
lentil curry,41311030
lentil curry with rice,41311040
vegetarian chili,41812450
vegetarian stroganoff,41812850
beans and rice,58160100
kidney beans and rice,58160102
black beans and rice,58160104
pinto beans and rice,58160106
beans and white rice,58160110
kidney beans and white rice,58160150
black beans and white rice,58160154
pinto beans and white rice,58160156
beans and brown rice,58161320
kidney beans and brown rice,58161321
black beans and brown rice,58161322
pinto beans and brown rice,58161323
bean chips,41310900
soy chips,41410015
chips,54318000
corn nuts,54401011
corn chips,54401021
cheese flavored corn snacks,54401055
tortilla chips,54401075
cheese flavored corn snacks (cheetos),54401081
popcorn chips,54404000
onion flavored rings,54406010
shrimp chips,54406200
multigrain chips (sun chips),54420210
cracker chips,54440020
vegetable chips,71220000
plantain chips,71905410
taro chips,71980200
sweet potato chips,73410210
sambar,41311020
vegetarian stew,41812800
stuffed pepper,58162090
stuffed tomato,58162130
spinach souffle,72125240
spinach and cheese casserole,72125260
palak paneer,72125310
channa saag,72125500
broccoli casserole with noodles,72202010
broccoli casserole with rice,72202020
lettuce,75144100
seven-layer salad,75145000
greek salad,75146000
spinach salad,75147000
cobb salad,75148010
ratatouille,75316050
artichokes,75400500
green bean casserole,75403020
corn,75411010
eggplant parmesan casserole,75412060
eggplant with cheese and tomato sauce,75412070
vegetable stew without meat,75439010
vegetable curry,75440600
vegetable curry with rice,75440610
soybean curd,41420010
soybean curd cheese,41420050
vermicelli,41425010
textured vegetable protein,41440000
frozen dessert,41480020
bacon strip,41810200
breakfast link,41810400
luncheon slice,41811600
meatball,41811800
veggie burger patty,41811890
sandwich spread,41812000
vegetarian,41812600
soy nut butter,42203200
meat substitute,59003000
worcestershire sauce,41420450
lemon juice,61204000
lime juice,61207000
chutney,63409020
vinegar,64401000
hot thai sauce,74403000
buffalo sauce,74406060
puerto rican seasoning with ham,74410110
puerto rican seasoning with ham and tomato sauce,74415110
puerto rican seasoning without ham and tomato sauce,74420110
garlic,75111500
pepper,75121000
hot peppers,75226111
pimiento,75226700
yeast extract spread,75236500
horseradish,75503090
mustard,75506010
honey mustard dip,75506100
hot pepper sauce,75511010
wasabi paste,75534550
horseradish sauce,81302060
fry sauce,81308100
sweet and sour sauce,91361010
duck sauce,91361050
veggie burger,41901010
falafel sandwich,41901030
bruschetta,51136000
vegetable sandwich on white,58200210
vegetable sandwich on wheat,58200230
vegetable sandwich wrap,58200250
tomato sandwich on white,74701000
tomato sandwich on wheat,74701010
nuts,42100050
almonds,42100100
brazil nuts,42102000
cashews,42104000
chestnuts,42105000
coconut,42106000
hazelnuts,42107000
macadamia nuts,42109100
mixed nuts,42110000
peanuts,42111000
pecans,42112000
pine nuts,42113000
pistachio nuts,42114130
walnuts,42116000
almond butter,42200500
almond paste,42200600
cashew butter,42201000
peanut butter,42202000
peanut butter and jelly,42203000
peanut butter and chocolate spread,42203100
trail mix,42500000
trail mix with nuts,42500100
trail mix with nuts and fruit,42501000
trail mix with chocolate,42501500
trail mix with pretzels,42502100
pumpkin seeds,43101050
sunflower seeds,43102000
sesame seeds,43103000
tahini,43103300
flax seeds,43104000
mixed seeds,43107000
chia seeds,43108010
peanut butter sandwich,42301010
peanut butter and jelly sandwich,42302010
almond butter sandwich,42304010
almond butter and jelly sandwich,42304030
nutella sandwich on white bread,42305010
nutella sandwich on wheat bread,42305020
jelly sandwich,58201000
coconut water,42403010
fruit nectar,64200100
apricot nectar,64201010
banana nectar,64201500
cantaloupe nectar,64202010
guava nectar,64203020
mango nectar,64204010
peach nectar,64205010
papaya nectar,64210010
passion fruit nectar,64213010
pear nectar,64215010
soursop,64221010
fruit juice drink,92432000
tamarind drink,92510650
fruit punch,92510720
lemonade,92510955
fruit juice beverage,92511250
frozen daiquiri mix,92512050
pina colada,92512090
margarita mix,92512110
slush frozen drink,92513000
cranberry juice drink,92530510
vegetable and fruit juice drink,92530950
fruit juice drink (sunny d),92531030
grape juice drink,92550200
orange juice beverage,92550350
apple juice beverage,92550360
pomegranate juice beverage,92550380
fruit juice drink (capri sun),92552030
sugar cane beverage,92612010
wine,92801000
nonalcoholic malt beverage,92803000
shirley temple,92804000
fruit juice,95342000
bread,51000100
focaccia,51108010
garlic bread,51121015
injera,51807000
roll,51000200
breadsticks,51183990
pan dulce,51160200
coffee cake,51165000
croissant,51166000
brioche,51167000
pannetone,51188100
fritter,53415110
cream puff,53420000
sopaipilla,53420400
sopaipilla with syrup or honey,53420410
tamale,53430700
pastry,53452100
cheese pastry puffs,53452450
breakfast pastry,53500100
danish pastry,53510000
doughnut,53520000
doughnut holes,53520170
churros,53520200
beignet,53520510
breakfast tart,53530000
funnel cake with sugar,55801000
funnel cake with sugar and fruit,55801010
bagel,51180010
muffin,51186010
bread stuffing,51182010
bread stuffing made with egg,51182020
cornbread stuffing,52204000
crepe,58120110
pierogi,58121610
knish,58122320
spanakopita,58124250
samosa,58124500
quiche with meat,58125110
spinach quiche,58125120
cheese quiche,58125180
turnover or hot pocket,58126100
turnover or lean pocket,58126290
turnover or breakfast pocket,58126400
cornmeal dressing with chicken or turkey and vegetables,58128120
dressing with oysters,58128210
dressing with chicken or turkey and vegetables,58128220
dressing with meat and vegetables,58128250
vada,58175000
tabbouleh,58175110
stuffed jalapeno pepper,75410550
croutons,51185000
melba toast,51187000
zwieback toast,51188500
crackers,54001000
rice cake,54318500
popcorn cake,54319020
rice paper,54319500
pita chips,54402700
bagel chips,54440010
noodles,56116000
anisette toast,51187020
cookie,53200100
cookie bar,53211000
pocky,53239100
marie biscuit,53241510
cookies,53270100
graham crackers,54102010
graham crackers (teddy grahams),54102015
biscuit,52101000
biscuit with fruit,52104200
scone,52105100
cornbread,52201000
cornbread muffin,52206010
corn flour patty or tart,52207010
corn pone,52208010
hush puppy,52209010
johnnycake,52211010
spoonbread,52213010
arepa dominicana,52220110
popover,52311010
dumpling,55610300
cornmeal stick,58117210
casabe,71930200
gordita/sope shell,52208760
tortilla,52215000
taco shell,52215300
pancakes,55100005
waffle,55200010
french toast,55300010
french toast sticks,55301031
chinese pancake,55501000
dosa,55702100
cereal or granola bar (general mills fiber one chewy bar),53710400
cereal or granola bar (kellogg's nutri-grain cereal bar),53710500
cereal or granola bar (kellogg's nutri-grain yogurt bar),53710502
cereal or granola bar (kellogg's nutri-grain fruit and nut bar),53710504
milk 'n cereal bar,53710600
cereal or granola bar (kellogg's special k bar),53710700
cereal or granola bar (kind fruit and nut bar),53710810
cereal or granola bar (general mills nature valley chewy trail mix),53710900
cereal or granola bar,53710902
cereal or granola bar (general mills nature valley sweet and salty granola bar),53710904
cereal or granola bar (general mills nature valley crunchy granola bar),53710906
cereal or granola bar (quaker chewy granola bar),53711000
cereal or granola bar (quaker chewy 90 calorie granola bar),53711002
cereal or granola bar (quaker chewy 25% less sugar granola bar),53711004
cereal or granola bar (quaker chewy dipps granola bar),53711006
cereal or granola bar (quaker granola bites),53711100
snack bar,53712000
cereal or granola bar with nuts,53714220
breakfast bar,53714500
cereal or granola bar (kashi chewy),53710800
cereal or granola bar (kashi crunchy),53710802
nutrition bar (balance original bar),53720100
nutrition bar (clif bar),53720200
nutrition bar (clif kids organic zbar),53720210
nutrition bar (powerbar),53720300
nutrition bar (slim fast original meal bar),53720400
nutrition bar (snickers marathon protein bar),53720500
nutrition bar (south beach living meal bar),53720600
nutrition bar (south beach living high protein bar),53720610
nutrition bar (tiger's milk),53720700
nutrition bar (zone perfect classic crunch),53720800
nutrition bar or meal replacement bar,53729000
baby toddler snack,53800000
baby toddler bar,53801000
baby toddler cookie,53803100
baby toddler biscuit,53803300
baby toddler crackers,54350000
baby toddler puffs,54350100
baby toddler crunchies,54360000
baby toddler wheels,54360100
baby toddler pudding,67408010
baby toddler yogurt melts,67430500
snack mix,54402200
pretzels,54408000
pretzel chips,54408105
potato chips,54402610
potato sticks,71205020
popcorn,54403001
pasta,56104000
long rice noodles,56116990
rice noodles,56117090
barley,56200410
buckwheat groats,56200510
millet,56202000
quinoa,56204000
bulgur,56207110
couscous,56207160
grits,56200990
cornmeal mush,56201515
masa harina,56201600
cream of rice,56205050
cream of wheat,56206990
whole wheat cereal,56207200
wheat cereal,56207370
oat bran cereal,56208500
upma,58174000
hominy,75217520
oatmeal,56202900
yellow rice,56205130
baby toddler cereal,57801000
chilaquiles,58100360
frito pie,58101830
mexican pizza,58101835
burrito bowl,58102700
enchilada,58102800
tamale casserole with meat,58103310
gordita,58104255
chimichanga,58104500
fajita,58104990
pupusa,58105100
chiles rellenos,75410500
nachos,58104105
egg roll,58110110
roll with meat and/or shrimp,58110200
wonton,58111110
puffs,58111200
bao bun,58123110
sushi,58151100
sushi roll,58151170
sushi roll tuna,58151220
gnocchi,58122210
lasagna with meat,58130011
lasagna with meat and spinach,58130020
lasagna with chicken or turkey,58130140
lasagna,58130150
ravioli,58131100
manicotti,58133110
stuffed shells,58134110
tortellini,58134610
cannelloni,58134810
spaghetti with corned beef,58140110
macaroni with tuna,58140310
pasta with tomato-based sauce,58146120
pasta with tomato-based sauce and cheese,58146150
pasta with vegetables,58146160
pasta with sauce,58146210
pasta with sauce and meat,58146315
pasta with tomato-based sauce and meat,58146321
pasta with tomato-based sauce and poultry,58146341
pasta with tomato-based sauce and seafood,58146361
pasta with cream sauce,58146381
pasta with cream sauce and added vegetables,58146391
pasta with cream sauce and meat,58146401
pasta with cream sauce and poultry,58146421
pasta with cream sauce and seafood,58146441
pasta with tomato-based sauce and beans or lentils,58147110
flavored pasta,58147510
macaroni or pasta salad,58148110
macaroni or pasta salad with egg,58148120
macaroni or pasta salad with tuna,58148130
macaroni or pasta salad with crab meat,58148140
macaroni or pasta salad with shrimp,58148150
macaroni or pasta salad with tuna and egg,58148160
macaroni or pasta salad with chicken,58148170
macaroni or pasta salad with cheese,58148180
macaroni or pasta salad with meat,58148550
noodle pudding,58149110
noodles with vegetables in tomato-based sauce,58302080
spaghetti and meatballs dinner,58304010
spaghetti with meat sauce,58304060
macaroni or noodles with cheese,58145110
macaroni or noodles with cheese and tuna,58145120
macaroni or noodles with cheese and meat,58145135
macaroni or noodles with cheese and tomato,58145140
macaroni or noodles with cheese and frankfurters or hot dogs,58145160
macaroni or noodles with cheese and egg,58145170
macaroni or noodles with cheese and chicken or turkey,58145190
macaroni or noodles,58147330
clementine,61100600
grapefruit,61101010
kumquat,61110010
lemon,61113010
lime,61116010
orange,61119010
tangerine,61125010
lemon pie filling,61113500
cherry pie filling,63113030
blueberry pie filling,63203700
syrup,91300010
pancake syrup,91300100
corn syrup,91301030
blueberry syrup,91301050
chocolate syrup,91301080
simple syrup,91301100
strawberry drink syrup,91301130
topping,91304010
chocolate hazelnut spread,91304090
icing,91305010
caramel dip,91306020
chocolate dip,91306030
dessert dip,91306040
dessert sauce,91361040
jam or jelly,91400000
jelly,91401000
jam,91402000
fruit butter,91403000
marmalade,91404000
guava paste,91407100
sweet potato paste,91407120
bean paste,91407150
grapefruit juice,61201010
orange juice,61210000
tangerine juice,61213220
fruit juice blend,61213800
cranberry juice blend,64100200
blackberry juice,64104600
blueberry juice,64104610
cranberry juice,64105400
grape juice,64116020
papaya juice,64120010
passion fruit juice,64121000
pineapple juice,64124020
pomegranate juice,64126000
prune juice,64132010
strawberry juice,64132500
watermelon juice,64133100
aloe vera juice drink,75200700
vegetable and fruit juice,78101000
fruit mixture,62101050
apple,62101100
apricot,62104100
blueberries,62105000
cherries,62106000
banana chips,62107200
currants,62108100
cranberries,62109100
date,62110100
fig,62113100
mango,62114050
papaya,62114110
peach,62116100
pear,62119100
persimmon,62120000
pineapple,62120100
prune,62122100
raisins,62125100
tamarind,62126000
fruit,63100100
starfruit,63109700
dragon fruit,63116010
guava,63125010
kiwi fruit,63126500
lychee,63126510
passion fruit,63134010
plum,63143010
pomegranate,63145010
rhubarb,63147110
ambrosia,63301010
fruit salad,63311000
fruit cocktail,63311110
apple salad with dressing,63401010
pineapple salad with dressing,63413010
applesauce,63101110
apple pie filling,63101210
avocado,63105010
peas and carrots,73111211
raw vegetable,75100250
sprouts,75100300
alfalfa sprouts,75100500
artichoke,75100750
asparagus,75100800
bean sprouts,75101000
beets,75102500
broccoflower,75102600
brussels sprouts,75102750
cactus,75105500
celery,75109000
fennel bulb,75109010
cucumber,75111000
jicama,75111800
kohlrabi,75112000
radish,75125000
rutabaga,75127000
snowpeas,75127750
turnip,75129000
bamboo shoots,75203028
burdock,75209501
christophine,75215511
flowers or blossoms of sesbania,75217301
lotus root,75218501
mushroom,75219100
okra,75220011
palm hearts,75221160
parsnips,75222020
peppers,75226020
daikon radish,75227110
salsify,75229011
snowpea,75231011
winter melon,75235750
peppers and onions,75306998
classic mixed vegetables,75310990
vegetables,75317010
broccoli and cauliflower,75330050
asian stir fry vegetables,75340010
jai,75340200
jalapenos,75511050
banana,63107010
cantaloupe,63109010
honeydew melon,63127010
watermelon,63149010
grapes,63123000
nectarine,63131010
berries,63200100
blackberries,63201010
bluberries,63203110
cranberry sauce,63207110
raspberries,63219000
strawberries,63223020
frozen fruit juice bar,63420105
sorbet,63430150
gelatin dessert,91501010
gelatin dessert with fruit,91501020
gelatin salad with vegetables,91501100
yokan,91520100
italian ice,91601000
popsicle,91610900
freezer pop,91612000
snow cone,91621000
apple cider,64101010
apple juice,64104010
baby toddler multiple fruit,67100100
baby toddler apples,67102010
baby toddler bananas,67105030
baby toddler peaches,67108010
baby toddler pears,67109010
baby toddler prunes,67110000
baby toddler mangoes,67110100
potato,71000100
potato only from puerto rican mixed dishes,71106010
stewed potatoes,71106000
potato from puerto rican style stuffed pot roast,71106020
potato from puerto rican beef stew,71106050
potato from puerto rican chicken fricassee,71106070
potato salad with egg,71600950
potato salad,71602010
potato pancake,71701000
lefse,71701500
stewed potatoes with tomatoes,71704000
fried stuffed potatoes,77121010
potato skins without topping,71410000
potato skins,71410500
potato patty,71503010
potato tots,71505000
plantain,71900100
ripe plantain,71905000
green banana,71910110
cassava,71930120
dasheen,71962020
taro,71962040
fufu,71970200
green peas,75120000
breadfruit,75208501
water chesnut,75235000
lima beans and corn,75301110
peas and corn,75315010
green plantain with cracklings,77201210
yuca fries,71930190
fried broccoli,72202030
sweet potato fries,73410200
sweet potato tots,73420020
fried green tomatoes,74205010
fried green beans,75205200
fried cauliflower,75409020
fried eggplant,75412010
fried mushrooms,75414030
fried okra,75414500
fried onion rings,75415022
fried summer squash,75418010
vegetable tempura,75440200
pakora,75440400
pickles,75511300
broccoli raab,72103000
romaine lettuce,72116000
caesar salad,72116150
radicchio,72124100
mixed salad greens,75114000
beet juice,73105000
carrot juice,73105010
tomato juice,74301100
tomato juice cocktail,74302000
tomato and vegetable juice,74303000
mixed vegetable juice,75132000
celery juice,75132100
pumpkin,73201013
winter squash,73302010
spaghetti squash,75233220
sun-dried tomatoes,74206000
tomato,74205020
sauerkraut,75230000
relish,75501010
kimchi,75502520
ginger root,75503085
olives,75510000
olive tapenade,75510050
radishes,75512010
zucchini,75535000
ketchup,74401010
tomato chili sauce,74402010
salsa,74402100
taco sauce,74402210
barbecue sauce,74406010
steak sauce,74406100
cocktail sauce,74406500
yellow string beans,75206020
leek,75218400
baby toddler vegetable,76000000
baby toddler carrots,76201010
baby toddler squash,76205010
baby toddler sweet potatoes,76209010
baby toddler green beans,76401010
baby toddler beets,76403010
baby toddler multiple vegetables,76407010
baby toddler peas,76409010
margarine,81102000
margarine-oil blend,81103035
butter replacement,81103090
oil or table fat,81200100
shortening,81203000
tartar sauce,81302050
salad dressing,83100200
mayonnaise,83107000
vegan mayonnaise,83108000
mayonnaise-type salad dressing,83110000
vegetable oil,82101000
almond oil,82101300
coconut oil,82101500
corn oil,82102000
cottonseed oil,82103000
flaxseed oil,82103500
olive oil,82104000
peanut oil,82105000
canola oil,82105500
safflower oil,82106000
sesame oil,82107000
soybean oil,82108000
sunflower oil,82108500
walnut oil,82108700
wheat germ oil,82109000
blue or roquefort cheese dressing,83101000
bacon and tomato dressing,83101600
caesar dressing,83102000
coleslaw dressing,83103000
french or catalina dressing,83104000
honey mustard dressing,83105500
italian dressing,83106000
russian dressing,83109000
avocado dressing,83112000
creamy italian dressing,83112400
poppy seed dressing,83112950
sesame dressing,83112990
ranch dressing,83113500
thousand island dressing,83114000
yogurt dressing,83115000
korean dressing or marinade,83208500
sugar,91101000
honey,91302010
agave liquid sweetener,91302020
molasses,91303000
sugar substitute and sugar blend,91106010
sugar substitute,91107000
candy,91700010
white chocolate candy,91705400
ladoo,91718300
cough drops,91745035
chewing gum,91801000
chocolate candy,91705005
chocolate candy with nuts,91705012
chocolate candy with cereal,91705020
chocolate chips,91705200
dark chocolate candy,91705290
dark chocolate candy with nuts,91705312
chocolate candy with dried fruit,91705550
frozen coffee drink,92101920
frozen mocha coffee drink,92102000
iced coffee,92102400
coffee and chicory,92152000
chicory beverage,92202010
cereal beverage,92203000
cereal beverage with beet roots,92203110
iced tea / lemonade juice drink,92307500
soft drink,92400000
water,92410110
water beverage,94100300
beer,93101000
alcoholic malt beverage,93106000
hard cider,93106500
cordial or liqueur,93201000
cocktail,93301000
alexander,93301010
bloody mary,93301030
canadian club and soda,93301031
cape cod,93301032
daiquiri,93301040
gelatin shot,93301045
gimlet,93301050
gin and tonic,93301060
greyhound,93301075
jagerbomb,93301083
kamikaze,93301085
manhattan,93301090
margarita,93301100
martini,93301110
mint julep,93301120
mojito,93301125
old fashioned,93301130
orange blossom,93301132
rob roy,93301135
rusty nail,93301136
screwdriver,93301140
seabreeze,93301141
seven and seven,93301142
tom collins,93301150
whiskey sour,93301160
whiskey and soda,93301170
whiskey and water,93301181
whiskey and cola,93301182
whiskey and diet cola,93301183
whiskey and ginger ale,93301184
rum and cola,93301190
rum and diet cola,93301191
brandy and cola,93301205
vodka and soda,93301211
vodka and lemonade,93301213
vodka and cola,93301214
vodka and diet cola,93301215
vodka and energy drink,93301216
vodka and water,93301217
vodka and tonic,93301218
sloe gin fizz,93301230
black russian,93301240
white russian,93301250
singapore sling,93301280
mai tai,93301310
tequila sunrise,93301320
gin rickey,93301330
long island iced tea,93301360
fuzzy navel,93301370
irish coffee,93301400
liqueur with cream,93301450
frozen daiquiri,93301500
frozen margarita,93301510
gin fizz,93301600
rum,93302000
glug,93406000
brandy,93501000
whiskey,93502000
scotch,93502100
gin,93503000
rum cooler,93504100
vodka,93505000
tequila,93505100
mimosa,93301115
champagne punch,93301275
wine cooler,93404000
sangria,93404550
wine spritzer,93405000
nutritional drink or shake,95101000
nutritional powder mix (carnation instant breakfast),95201000
nutritional powder mix,95201010
nutritional powder mix (eas whey protein powder),95201200
nutritional powder mix (eas soy protein powder),95201300
nutritional powder mix (isopure),95201600
nutritional powder mix (kellogg's special k20 protein water),95201700
nutritional powder mix (muscle milk),95202000
nutritional powder mix (slim fast),95210000
energy drink (full throttle),95310200
energy drink (monster),95310400
energy drink (mountain dew amp),95310500
energy drink (no fear),95310550
energy drink (no fear motherload),95310555
energy drink (nos),95310560
energy drink (red bull),95310600
energy drink (rockstar),95310700
energy drink (sobe energize energy juice drink),95310750
energy drink (vault),95310800
energy drink,95311000
energy drink (ocean spray cran-energy juice drink),95312560
energy drink (xs),95312900
energy drink (xs gold plus),95312905
sports drink (gatorade g),95320200
sports drink (powerade),95320500
fluid replacement,95330100
