Product Name,UPC Code,Serving Size,Serving Size Unit,Product Size,Price,Protein,Total lipid (fat),"Carbohydrate, by difference",Energy - kcal,Energy - kJ,"Fiber, total dietary","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Vitamin A, IU",Vitamin E (alpha-tocopherol),"Vitamin D (D2 + D3), International Units",Vitamin E,"Vitamin C, total ascorbic acid",Thiamin	Riboflavin,Niacin,Vitamin K (phylloquinone),Folic acid,"Choline, total","Sugars, total including NLEA","Fatty acids, total trans","Fatty acids, total saturated",Vitamin B-6,Vitamin B-12,"Sugars, added",Category,mapping
"Great Value Large White Eggs, 12 Count",78742127071,,,,1.32,10.7,0.0,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,Eggs,Eggs
"Parmalat Whole Milk, 32 fl oz (Shelf-Stable)",857065007013,240.0,ml,,2.98,0.555,1.22,0.337,,,0.0,173.0,0.29,6.78,29.8,30.8,59.6,0.172,,3.32,37.1,,,,0.0744,,,,,0.0,0.104,0.0,0.338,,Whole Milk,Whole Milk
"Organic Valley Ultra Pasteurized Whole Milk, 128 Fl Oz",93966007428,240.0,ml,0.5 GAL/1.89 L,7.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Whole Milk,Whole Milk
"a2 Milk, Ultra-Pasteurized Whole Milk, 59 fl oz.",813267020007,240.0,ml,118 OZ/3.48 L,4.28,3.33,3.75,5.0,67.0,67.0,0.0,117.0,0.0,,,133.0,50.0,,,,0.0,,,,,,,,5.0,0.0,2.08,,,,Whole Milk,Whole Milk
"Happy Egg Organic Free Range Large Brown Eggs, 12 Count",887422000081,,,48 OZ/3 LB/1.36 kg,4.94,12.0,10.0,0.0,140.0,140.0,0.0,60.0,1.8,,,140.0,140.0,,,,80.0,,,,,,,,0.0,0.0,3.0,,,,Eggs,Eggs
"Marketside Organic Cage Free Brown Large Eggs, 18 Count",681131122801,,,,5.82,12.0,10.0,0.0,140.0,140.0,0.0,56.0,2.0,,,138.0,140.0,,,,,,,,,,,,0.0,0.0,3.0,,,,Eggs,Eggs
"Marketside Organic Cage Free Large Brown Eggs, 12 Count",681131122771,,,,3.93,12.0,10.0,0.0,140.0,140.0,0.0,56.0,2.0,,,138.0,140.0,,,,,,,,,,,,0.0,0.0,3.0,,,,Eggs,Eggs
