fdc_id,description,short_description,food_code,wweia_food_category,wweia_food_category_description
2340830,"Yogurt parfait, low fat, with fruit",Yogurt parfait,11446000,1820,"Yogurt, regular"
2343045,"Yogurt, coconut milk",Yogurt,42401100,1820,"Yogurt, regular"
2340796,"Yogurt, Greek, NS as to type of milk or flavor",Yogurt,11400010,1822,"Yogurt, Greek"
2340802,"Yogurt, Greek, NS as to type of milk, plain",Yogurt,11411390,1822,"Yogurt, Greek"
2340803,"Yogurt, Greek, whole milk, plain",Yogurt,11411400,1822,"Yogurt, Greek"
2340804,"Yogurt, Greek, low fat milk, plain",Yogurt,11411410,1822,"Yogurt, Greek"
2340805,"Yogurt, Greek, nonfat milk, plain",Yogurt,11411420,1822,"Yogurt, Greek"
2340810,"Yogurt, Greek, NS as to type of milk, fruit",Yogurt,11433990,1822,"Yogurt, Greek"
2340811,"Yogurt, Greek, whole milk, fruit",Yogurt,11434000,1822,"Yogurt, Greek"
2340812,"Yogurt, Greek, low fat milk, fruit",Yogurt,11434010,1822,"Yogurt, Greek"
2340813,"Yogurt, Greek, nonfat milk, fruit",Yogurt,11434020,1822,"Yogurt, Greek"
2340818,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",Yogurt,11435000,1822,"Yogurt, Greek"
2340819,"Yogurt, Greek, whole milk, flavors other than fruit",Yogurt,11435010,1822,"Yogurt, Greek"
2340820,"Yogurt, Greek, low fat milk, flavors other than fruit",Yogurt,11435020,1822,"Yogurt, Greek"
2340821,"Yogurt, Greek, nonfat milk, flavors other than fruit",Yogurt,11435030,1822,"Yogurt, Greek"
2340822,"Yogurt, Greek, with oats",Yogurt,11435100,1822,"Yogurt, Greek"
2340824,"Chipotle dip, yogurt based",Chipotle dip,11440010,8412,"Dips, gravies, other sauces"
2340825,"Onion dip, yogurt based",Onion dip,11440030,8412,"Dips, gravies, other sauces"
2340826,"Ranch dip, yogurt based",Ranch dip,11440040,8412,"Dips, gravies, other sauces"
2340827,"Spinach dip, yogurt based",Spinach dip,11440050,8412,"Dips, gravies, other sauces"
2340828,Tzatziki dip,Tzatziki dip,11440060,8412,"Dips, gravies, other sauces"
